hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	佛克律斯泉	fókèlǜsī(quàn)	NONE	NONE	воклюзы	французский	NONE
NONE	弗尔兰纳舞	fú'ěrlánnà(wǔ)	NONE	NONE	форлана		NONE
NONE	 弗列克萨顿	fúlièkèsàdùn	NONE	NONE	флексатон		NONE
NONE	伏阿普	fú'āpǔ	NONE	NONE	ВОАПП		NONE
NONE	伏尔泰椅	fú'ěrtài(yǐ)	NONE	NONE	вольтеровское кресло		NONE
NONE	伏特加	fútějiā	NONE	NONE	водка	伏特卡	NONE
NONE	福尔什马克	fú'ěrshímǎkè	NONE	NONE	форшмак		NONE
NONE	富路雅笛	fùlùyǎ(dí)	NONE	NONE	фуруйя		NONE
NONE	盖克塞纳	gàikèsàinà	NONE	NONE	гексенал		NONE
NONE	盖怕龙	gàipàlóng	NONE	NONE	гепалон		NONE
NONE	高士泼林	gāoshìpōlín	NONE	NONE	госплан		NONE
NONE	戈比	gēbǐ	NONE	NONE	копейка	哥比	NONE
NONE	戈斯帕京	gēsīpàjīng	NONE	NONE	господин		NONE
NONE	哥巴克舞	gēbākè(wǔ)	NONE	NONE	гопак		NONE
NONE	哥洛梅卡舞	gēluòméikǎ(wǔ)	NONE	NONE	коломыйка		NONE
NONE	格别乌	gébiéwū	NONE	NONE	ГПУ		NONE
NONE	格兰尼托皮	gélánnítuōpí	NONE	NONE	гранитоль		NONE
NONE	格林斯本	gélínsǐběn	NONE	NONE	гринсбон		NONE
NONE	格鲁乌	gélǔwū	NONE	NONE	ГРУ		NONE
NONE	格罗什	géluóshí	NONE	NONE	грош		NONE
NONE	格丝里	gésīlǐ	NONE	NONE	гесль		NONE
NONE	给亚克琴	gěiyǎkè(qín)	NONE	NONE	кыяк		NONE
NONE	古楚尔舞	gǔchǔ'ěr(wǔ)	NONE	NONE	гуцулка		NONE
NONE	古丝理	gǔsīlǐ	NONE	NONE	гусли		NONE
NONE	哈拉嗦	hālāsuó	NONE	NONE	хорошо		NONE
NONE	哈拉呢	hālānǐ	NONE	NONE	халат		NONE
NONE	哈勒瓦	hālèwǎ	NONE	NONE	халва	哈尔娃	NONE
NONE	哈麦新风	hāmàixīn(fēng)	NONE	NONE	хамсин		NONE
NONE	哈契奇板	hāqìqī(bǎn)	NONE	NONE	пхачич	адыгский	NONE
NONE	赫罗拉契	hèluólāqì	NONE	NONE	хлоратит		NONE
NONE	赫罗姆卡	hèluómǔkǎ	NONE	NONE	хромка		NONE
NONE	赫洛福斯	hèluòfúsī	NONE	NONE	хлорофос		NONE
NONE	黑列巴	hēilièbā	NONE	NONE	хлеб		NONE
NONE	呼多	hūduō	NONE	NONE	фут	англ	NONE
NONE	呼特巴	hūtèbā	NONE	NONE	хутба		NONE
NONE	霍尔特狗	huǒ'ěrtè(gǒu)	NONE	NONE	хорт		NONE
NONE	霍拉舞	huòlā(wǔ)	NONE	NONE	хора		NONE
NONE	霍鲁蜜舞	huòlǔmì(wǔ)	NONE	NONE	хоруми		NONE
NONE	霍罗舞	huòluó(wǔ)	NONE	NONE	хоро		NONE
NONE	基尔什	jī'ěrshí	NONE	NONE	кирза		NONE
NONE	基法拉琴	jīfǎlā(qín)	NONE	NONE	кифара		NONE
NONE	基里尔字母	jīlǐ'ěr(zìmǔ)	NONE	NONE	кириллица		NONE
NONE	基什拉克	jīshílākè	NONE	NONE	кишлак		NONE
NONE	基兹利亚尔酒	jīzīlìyà'ěr(jiǔ)	NONE	NONE	кизлярка		NONE
NONE	吉克	jíkè	NONE	NONE	тик		NONE
NONE	吉协力	jíxiélì	NONE	NONE	кисель		NONE
NONE	加里哥宇群落	jiālǐgē(yǔqúnluò)	NONE	NONE	гарига	французский	NONE
NONE	加曼察琴	jiāmànchá(qín)	NONE	NONE	кеманча		NONE
NONE	建克曼	jiékèmàn	NONE	NONE	чекмень		NONE
NONE	九丝列琴	jiǔsīliè(qín)	NONE	NONE	кюсле		NONE
NONE	喀查普	kāchápǔ	NONE	NONE	кацап		NONE
NONE	喀马林	kāmǎlín	NONE	NONE	камаринская		NONE
NONE	喀秋莎	kāqiǔshā	NONE	NONE	катюша	卡秋莎	NONE
NONE	卡巴尔达式长袍	kǎbā'ěrdá(shìchángpáo)	NONE	NONE	кабардинка (ружье)		NONE
NONE	卡巴尔达舞	kǎbā'ěrdá(wǔ)	NONE	NONE	кабардинка (танец)		NONE
NONE	卡波立	kǎbōlì	NONE	NONE	карболит	卡包立	NONE
NONE	卡博霍林	kǎbóhuòlín	NONE	NONE	карбохолин		NONE
NONE	卡尔那号	kǎ'érnàhào	NONE	NONE	карнай	тюркские	NONE
NONE	卡尔图里舞	kǎ'ěrtúlǐ(wǔ)	NONE	NONE	картули	грузинский	NONE
NONE	卡戈尔酒	kǎgē'ěr(jiǔ)	NONE	NONE	кагор		NONE
NONE	卡拉苏克文化	kǎlāsūkè(wénhuà)	NONE	NONE	Карасукская культура		NONE
NONE	卡那乌斯	kǎnàwúsì	NONE	NONE	канаус		NONE
NONE	卡普隆	kǎpǔlóng	NONE	NONE	капрон	卡普纶	NONE
NONE	卡普呢	kǎpǔ(ní)	NONE	NONE	капп		NONE
NONE	卡萨金	kǎsàjīn	NONE	NONE	казакин		NONE
NONE	堪地勒苹果	kāndìlè(píngguǒ)	NONE	NONE	кандиль		NONE
NONE	坎克列斯琴	kǎnkèlièsī(qín)	NONE	NONE	канклес	литовский	NONE
NONE	坎纳羚羊	kǎnnà(língyáng)	NONE	NONE	канна		NONE
NONE	坎涅勒琴	kǎnnièlè(qín)	NONE	NONE	каннель		NONE
NONE	康秉纳	kāngbǐngnà	NONE	NONE	комбинат		NONE
NONE	 康达克特	kāngdǎkètè	NONE	NONE	контакт		NONE
NONE	康密莎	kangmisha	NONE	NONE	комиссар	科密萨尔	NONE
NONE	康民团	kāngmíntuán	NONE	NONE	коминтерн		NONE
NONE	康沙模尔	kāngshāmó'ěr	NONE	NONE	комсомол	共莎莫勒	NONE
NONE	康沙模尔卡	kāngshāmó'ěrkǎ	NONE	NONE	комсомолка		NONE
NONE	康塔里	kāngtǎlǐ	NONE	NONE	контарь	арабский	NONE
NONE	柯布札	kēbùzhá	NONE	NONE	кобза		NONE
NONE	科尔火支	kē'ěrhuǒzhī	NONE	NONE	колхоз		NONE
NONE	科穆兹琴	kēmùzī(qín)	NONE	NONE	комуз		NONE
NONE	科培兹琴	kēpéizī(qín)	NONE	NONE	кобыз		NONE
NONE	克格勃	kègébó	NONE	NONE	КГБ		NONE
NONE	克拉科维克	kèlākēwéikè	NONE	NONE	краковяк		NONE
NONE	克雷扎卓克	kèléizházhuōkè	NONE	NONE	крыжачок		NONE
NONE	克里姆林宫	kèlǐmǔlín(gōng)	NONE	NONE	Кремль	через англ	NONE
NONE	克维尔克特呢	kèwéi'ěrkètè(ní)	NONE	NONE	коверкот		NONE
NONE	客里空	kèlǐkōng	NONE	NONE	крикун		NONE
NONE	库奥克列琴	kù'àokèliè(qín)	NONE	NONE	кокле		NONE
NONE	库贝兹琴	kùbèizī(qín)	NONE	NONE	кубыз		NONE
NONE	库莱笛	kùlái(dí)	NONE	NONE	курай	башкирский	NONE
NONE	库穆兹琴	kùmùzī(qín)	NONE	NONE	кумуз		NONE
NONE	库维契基笛	kùwéiqìjī(dí)	NONE	NONE	кугиклы		NONE
NONE	库亚维亚克	kùyàwéiyàkè	NONE	NONE	куявяк		NONE
NONE	奎耶塔尔	kuíyētǎ'ěr	NONE	NONE	квиетал		NONE
NONE	拉罗	lāluó	NONE	NONE	рало		NONE
NONE	拉嘛人猿	lāmá(rényuán)	NONE	NONE	рамапитек		NONE
NONE	拉普	lāpǔ	NONE	NONE	ЛАПП/РАПП		NONE
NONE	拉切密	lāqièmì	NONE	NONE	лартеми		NONE
NONE	辣博勃	lābóbó	NONE	NONE	рабоб		NONE
NONE	莱茵舞	láiyīnwǔ	NONE	NONE	райнлендер		NONE
NONE	蓝威斯曼	lánwēisīmàn	NONE	NONE	ранверсман		NONE
NONE	劳塔尔	láotǎ'ěr	NONE	NONE	лауталь		NONE
NONE	勒涅特喀苹果	lèniètèkā(píngguǒ)	NONE	NONE	ранетка		NONE
NONE	勒兹舞	lèzī(wǔ)	NONE	NONE	рэз		NONE
NONE	雷电欧	léidiàn'ōu	NONE	NONE	радиом		NONE
NONE	里昂布	lǐ'ángbù	NONE	NONE	лионез		NONE
NONE	里拉	lǐlā	NONE	NONE	лира (инструмент)		NONE
NONE	里欧洗箱	lǐ'ōuxǐ(xiāng)	NONE	NONE	реобокс		NONE
NONE	里斯图比亚利舞	lǐsītúbǐyālì(wǔ)	NONE	NONE	ристу-пяре	карельский	NONE
NONE	里斯图孔德拉舞	lǐsītúkǒngdélā(wǔ)	NONE	NONE	ристу-кондра	карельский	NONE
NONE	里文式手风琴	lǐwénshī(shǒufēngqín)	NONE	NONE	ливенка		NONE
NONE	里车尔卡曲	lǐchē'ěrkǎ(qǔ)	NONE	NONE	ричеркар	итальянский	NONE
NONE	里车尔卡塔曲	lǐchē'ěrkǎtǎ(qǔ)	NONE	NONE	ричерката	итальянский	NONE
NONE	连接雅舞	liánjiēyǎ(wǔ)	NONE	NONE	лентея		NONE
NONE	列夫	lièfū	NONE	NONE	ЛеФ		NONE
NONE	列兹金卡舞	lièzījīnkǎ(wǔ)	NONE	NONE	лезгинка		NONE
NONE	卢布	lúbù	NONE	NONE	рубль		NONE
NONE	鲁察维提斯舞	lǔcháwéitísī(wǔ)	NONE	NONE	руцавиетис		NONE
NONE	罗马涅酒	luómǎniè(jiǔ)	NONE	NONE	романся		NONE
NONE	马合烟	mǎhé(yān)	NONE	NONE	махорка		NONE
NONE	马克思列宁主义	mǎkèsīlièníng(zhǔyì)	NONE	NONE	марксизм-ленинизм		NONE
NONE	马克寻鱼	mǎkèxún(yú)	NONE	NONE	максун		NONE
NONE	马拉豚鼠	mǎlā(túnshǔ)	NONE	NONE	мара		NONE
NONE	马列尔撄桃	mǎliè'ěr(yīngtáo)	NONE	NONE	марель		NONE
NONE	马林果	mǎlín(guǒ)	NONE	NONE	малина		NONE
NONE	马林果酒	mǎlínguǒ(jiǔ)	NONE	NONE	малиновка		NONE
NONE	马神	mǎshén	NONE	NONE	машина		NONE
NONE	玛佳玛体诗	mǎjiāmǎ(tǐshì)	NONE	NONE	маджана		NONE
NONE	玛里尔	mǎlì'ěr	NONE	NONE	маглил		NONE
NONE	玛组卡饼	mǎzǔkǎ(bǐng)	NONE	NONE	мазурка		NONE
NONE	麦格阿尼特	màigé'āníte	NONE	NONE	мэганит		NONE
NONE	曼台斯牛	màntáisī(niú)	NONE	NONE	мендез		NONE
NONE	美尔库萨尔	měi'ěrkùsà'ěr	NONE	NONE	меркузал		NONE
NONE	蒙巴谢	méngbāxiè	NONE	NONE	монпансье		NONE
NONE	蒙特克里斯托枪	méngtèkèlǐsītuō(qiāng)	NONE	NONE	Монтекристо		NONE
NONE	孟什维克	mèngshíwéikè	NONE	NONE	меньшевик	门室维克	NONE
NONE	米阿塞诺尔	mǐ'āsènuòěr	NONE	NONE	миарсенол		NONE
NONE	米尔	mǐ'ěr	NONE	NONE	мир (станция???)		NONE
NONE	米格	mǐgé	NONE	NONE	МиГ	через англ	NONE
NONE	密切里查	mìqièlǐchá	NONE	NONE	метелица		NONE
NONE	莫合烟	mòhé(yīn)	NONE	NONE	махорка		NONE
NONE	莫罗勘教	mòluókān(jiào)	NONE	NONE	молокане		NONE
NONE	莫斯卡里	mōsīkǎlǐ	NONE	NONE	москаль		NONE
NONE	那瓦格鱼	nàwǎgé(yú)	NONE	NONE	навага		NONE
NONE	纳普	nàpǔ	NONE	NONE	НЭП		NONE
NONE	耐普曼	nàipǔmàn	NONE	NONE	нэпман		NONE
NONE	尼莱吉斯特	níláijísītè	NONE	NONE	нирезист		NONE
NONE	尼特龙	nítèlóng	NONE	NONE	нитрон		NONE
NONE	镍格林	niègélín	NONE	NONE	никелин		NONE
NONE	诺加塔	nuòjiātǎ	NONE	NONE	ногата		NONE
NONE	诺萨里鱼	nuòsàlǐ(yú)	NONE	NONE	носарь		NONE
NONE	帕拉列比斯鱼	pàlālièbǐsī(yú)	NONE	NONE	паралепис		NONE
NONE	帕明杜尔	pàmíngdù'ěr	NONE	NONE	пермендюр		NONE
NONE	帕什得特	pàshídétè	NONE	NONE	паштет	польский	NONE
NONE	帕西林果阿	pàxīlínguǒ'ā	NONE	NONE	пасилингва		NONE
NONE	品捷狗	pǐnjié(gǒu)	NONE	NONE	пинчер		NONE
NONE	朴罗纳尔康	pǔluónà'ěrkāng	NONE	NONE	пронаркон		NONE
NONE	普罗美多	pǔluóměiduō	NONE	NONE	промедол		NONE
NONE	普特	pǔtè	NONE	NONE	пуд	拨特	NONE
NONE	齐巴尼特	qíbānítè	NONE	NONE	цибанит		NONE
NONE	齐斯特拉琴	qísītèlā(qín)	NONE	NONE	цистра		NONE
NONE	奇尔鱼	qí'ěr(yú)	NONE	NONE	чир		NONE
NONE	奇木波笛	qímùbō(dí)	NONE	NONE	чимпой		NONE
NONE	契博尼笛	qìbóní(dí)	NONE	NONE	чибони		NONE
NONE	契卡	qìkǎ	NONE	NONE	ЧК		NONE
NONE	契利亚加葡萄	qìlìyàjiā(pútao)	NONE	NONE	чиляга		NONE
NONE	恰特	qiàtè	NONE	NONE	театр	через левый какой-то язык	NONE
NONE	锵克琴	qiāngqè(qín)	NONE	NONE	чанк		NONE
NONE	乔特卡舞	qiáotèkǎ(wǔ)	NONE	NONE	чечетка		NONE
NONE	切尔逢涅茨	qiē'ěrféngniècí	NONE	NONE	червонец		NONE
NONE	切列巴施	qiēlièbāshīkǎ	NONE	NONE	черепашка		NONE
NONE	秋伊久克笛	qiǔyījiǔkè(dí)	NONE	NONE	тюйкюк		NONE
NONE	若克舞	ruòkè(wǔ)	NONE	NONE	жок		NONE
NONE	萨夫火支	sàfūhuǒzhī	NONE	NONE	совхоз		NONE
NONE	萨科利津	sàkēlìjīn	NONE	NONE	сарколизин		NONE
NONE	萨拉玛塔	sàlāmǎtǎ	NONE	NONE	саламата		NONE
NONE	萨腊范	sàlàfàn	NONE	NONE	сарафан		NONE
NONE	萨玛瓦	sàmǎwǎ	NONE	NONE	самовар	через узбекский	NONE
NONE	萨玛亚舞	sàmǎyà(wǔ)	NONE	NONE	самая (танец)		NONE
NONE	萨那特	sànàtè	NONE	NONE	сенат		NONE
NONE	萨皮尚卡黎	sàpíshàngkǎlí	NONE	NONE	сапожанка		NONE
NONE	赛珞切克斯	sàiluòqièkèsī	NONE	NONE	целлотекс		NONE
NONE	赛切	sàiqiè	NONE	NONE	сечь		NONE
NONE	三达斯特	sāndásītè	NONE	NONE	сендаст		NONE
NONE	散图尔琴	sǎntú'ěr(qín)	NONE	NONE	сантур(и)		NONE
NONE	桑布塔尔	sāngbùtǎ'ěr	NONE	NONE	сонбутал		NONE
NONE	沙尔	shā'ěr	NONE	NONE	царь		NONE
NONE	沙尔玛风	shā'ermǎ(fēng)	NONE	NONE	сарма		NONE
NONE	沙尔苏林碱	shā'ěrsūlín(jiǎn)	NONE	NONE	сальсолин		NONE
NONE	沙尔特什笛	shā'ěrtèshí(dí)	NONE	NONE	шиалтыш		NONE
NONE	沙赫里查笛	shāhèlǐchá(dí)	NONE	NONE	шахлича		NONE
NONE	沙康那舞	shākāngnà(wǔ)	NONE	NONE	шаконна		NONE
NONE	沙康舞	shākāng(wǔ)	NONE	NONE	шаконна		NONE
NONE	沙拉霍舞	shālāhuǒ(wǔ)	NONE	NONE	шалахо		NONE
NONE	沙莫瓦	shāmòwǎ	NONE	NONE	самовар		NONE
NONE	沙普克	shāpǔkè	NONE	NONE	шапка		NONE
NONE	沙沃尼特	shāwònítè	NONE	NONE	савонит		NONE
NONE	沙油子	shāyóuzhǐ	NONE	NONE	союз		NONE
NONE	山卡芬	shānkǎfēn	NONE	NONE	санкафен		NONE
NONE	施查普什纳琴	shīchápǔshínà(qín)	NONE	NONE	шичапшина		NONE
NONE	施切普申琴	shīqièpǔshēn(qín)	NONE	NONE	шичепшин		NONE
NONE	什卡利克	shíkǎlìkè	NONE	NONE	шкалик		NONE
NONE	什托夫	shítuōfū	NONE	NONE	штоф		NONE
NONE	什托斯	shítuōsī	NONE	NONE	штосс		NONE
NONE	什维笛	shíwéi(dí)	NONE	NONE	шви		NONE
NONE	舒姆卡舞	shūmǔkǎ(wǔ)	NONE	NONE	шумка		NONE
NONE	司贝兹加笛	sībèizíjiā(dí)	NONE	NONE	сыбызга		NONE
NONE	司梅兹加笛	sīméizíjiā(dí)	NONE	NONE	сымызга		NONE
NONE	斯巴达克 运动团	sībādákè	NONE	NONE	спартак		NONE
NONE	斯科契那舞	sīkēqìnà(wǔ)	NONE	NONE	скочна		NONE
NONE	斯普特尼克	sīpǔtèníkè	NONE	NONE	спутник		NONE
NONE	斯坦尼茨	sītǎnnící	NONE	NONE	станица		NONE
NONE	斯特立沙克舞	sītèlìshākè(wǔ)	NONE	NONE	страшак		NONE
NONE	斯特罗衣查节	sītèluóyīchā(jié)	NONE	NONE	троицын день		NONE
NONE	斯特维利笛	sītèwéilì(dí)	NONE	NONE	ствири		NONE
NONE	斯锑普锑轻	sītīpǔtīqīng	NONE	NONE	стиптицин?		NONE
NONE	斯提赫	sītíhè	NONE	NONE	штих		NONE
NONE	苏达利	sūdálì	NONE	NONE	сударь		NONE
NONE	苏达鲁尼亚	sūdálǔníyà	NONE	NONE	сударыня		NONE
NONE	苏尔纳	sū'ěrnà	NONE	NONE	сурна		NONE
NONE	苏伏泼林	sūfúpōlín	NONE	NONE	совпрен		NONE
NONE	苏克提尼斯舞	sūkètínísī(wǔ)	NONE	NONE	суктинис		NONE
NONE	苏玛利娜舞	sūmǎlìnà(wǔ)	NONE	NONE	судмалинас		NONE
NONE	苏维埃	sūwéi'āi	NONE	NONE	совет		NONE
NONE	苏维尼特	sūwéinítè	NONE	NONE	совенит		NONE
NONE	苏苇尔笛	sūwěi'ěr(dí)	NONE	NONE	шювюр		NONE
NONE	索科勒	suǒkēlè	NONE	NONE	сокол		NONE
NONE	索里德	suǒlǐdé	NONE	NONE	солид		NONE
NONE	索里多尔	suǒlíduō'ěr	NONE	NONE	солидол	索里多	NONE
NONE	索立伐	suǒlìfá	NONE	NONE	сольвар		NONE
NONE	塔尔	tǎ'ěr	NONE	NONE	тар		NONE
NONE	塔夫拉克罐鼓	tǎfūlākè(guàngǔ)	NONE	NONE	тавляк	таджикский	NONE
NONE	塔加尔文化	tǎjiā'ěr(wénhuà)	NONE	NONE	тагарская культура		NONE
NONE	塔腊卡玛舞	tālàkǎmǎ(wǔ)	NONE	NONE	таракама		NONE
NONE	塔里琴	tǎlǐ(qín)	NONE	NONE	тари		NONE
NONE	塔罗加多笛	tǎluójiāduō(dí)	NONE	NONE	тарогато		NONE
NONE	塔齐耶	tǎqíyé	NONE	NONE	тазие		NONE
NONE	泰加群落	tàijiā(qúnluò)	NONE	NONE	тайга	через англ	NONE
NONE	特里波里文化	tèlǐbōlǐ(wénhuà)	NONE	NONE	трипольская культура		NONE
NONE	特里米塔排萧	tèlǐmǐtǎ(páixiāo)	NONE	NONE	тримитас		NONE
NONE	特连比达号	tèliánbǐdá(hào)	NONE	NONE	трембита		NONE
NONE	特烈帕克舞	tèlièpàkè(wǔ)	NONE	NONE	трепак		NONE
NONE	特罗利图耳	tèluólìtú'ěr	NONE	NONE	тролитул		NONE
NONE	梯朋	tīpéng	NONE	NONE	тибон		NONE
NONE	替吩	tìfēn	NONE	NONE	тифен		NONE
NONE	图博方打琴	túbófāng(dǎqín)	NONE	NONE	тубофон		NONE
NONE	托尔班琴	tuō'ěrbān(qín)	NONE	NONE	торбач		NONE
NONE	托加喜剧	tuōjiā(xǐqù)	NONE	NONE	тогата		NONE
NONE	托洛茨基派	tuōluócíjī(pài)	NONE	NONE	троцкист		NONE
NONE	托鲁比尔笛	tuōlǔbǐ'ěr(dí)	NONE	NONE	торупилль		NONE
NONE	托其卡	tuōqíkǎ	NONE	NONE	точка		NONE
NONE	瓦甫尔油	wǎfǔ'ěr(yóu)	NONE	NONE	вапор	латынь	NONE
NONE	瓦普	wǎpǔ	NONE	NONE	ВАПП		NONE
NONE	万卡	wànkǎ	NONE	NONE	ванка		NONE
NONE	维得罗	wéidéluó	NONE	NONE	ведро	维德罗	NONE
NONE	维尔夫	wéi'ěrfū	NONE	NONE	вервь		NONE
NONE	维尔木特酒	wéi'ěrmùtè(jiǔ)	NONE	NONE	вермут		NONE
NONE	维尔勺克	wéi'ěrsháokè	NONE	NONE	вершок		NONE
NONE	维尔斯特	wéi'ěrsītè	NONE	NONE	верста		NONE
