hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	NONE	NONE	gawar'ú gr'ú gaor'ú	NONE	говорю		NONE
NONE	NONE	NONE	gəvər'á	NONE	говорят		NONE
NONE	NONE	NONE	góda	NONE	год		NONE
NONE	NONE	NONE	gadísa	NONE	годиться		NONE
NONE	NONE	NONE	galawá	NONE	голова		NONE
NONE	NONE	NONE	ganí	NONE	гони		NONE
NONE	NONE	NONE	gan'áj	NONE	гоняй		NONE
NONE	NONE	NONE	gan'ál	NONE	гонял		NONE
NONE	NONE	NONE	gan'áli	NONE	гоняли		NONE
NONE	NONE	NONE	górod	NONE	город		NONE
NONE	NONE	NONE	gospodínə	NONE	господин		NONE
NONE	NONE	NONE	gəráma	NONE	грам		NONE
NONE	NONE	NONE	gal'áƷynə	NONE	грязный		NONE
NONE	NONE	NONE	guláj	NONE	гуляй		NONE
NONE	NONE	NONE	guláj-guláj	NONE	гуляй-гуляй		NONE
NONE	NONE	NONE	da	NONE	да		NONE
NONE	NONE	NONE	dawáj	NONE	давай		NONE
NONE	NONE	NONE	dawnó	NONE	давно		NONE
NONE	NONE	NONE	dal'ókə dal'aoka tal'ókə	NONE	далёко		NONE
NONE	NONE	NONE	dáli	NONE	дали		NONE
NONE	NONE	NONE	dajútə	NONE	дают		NONE
NONE	NONE	NONE	dwa duwá	NONE	два		NONE
NONE	NONE	NONE	dəwátsati	NONE	двадцать		NONE
NONE	NONE	NONE	déwusəkə	NONE	девушка		NONE
NONE	NONE	NONE	dédə	NONE	дед		NONE
NONE	NONE	NONE	déləj	NONE	делай		NONE
NONE	NONE	NONE	délala	NONE	делала		NONE
NONE	NONE	NONE	délo	NONE	дело		NONE
NONE	NONE	NONE	déna	NONE	день		NONE
NONE	NONE	NONE	dénəgi Ʒánia Ʒáŋgə	NONE	деньги		NONE
NONE	NONE	NONE	dƷés'a	NONE	десять		NONE
NONE	NONE	NONE	dilékətalə	NONE	директор		NONE
NONE	NONE	NONE	dóƷika	NONE	дождик		NONE
NONE	NONE	NONE	dolój	NONE	долой		NONE
NONE	NONE	NONE	dómə	NONE	дом		NONE
NONE	NONE	NONE	tóma	NONE	дома		NONE
NONE	NONE	NONE	dorogo	NONE	дорого		NONE
NONE	NONE	NONE	dasətánish	NONE	достанешь		NONE
NONE	NONE	NONE	dóchə	NONE	дочь		NONE
NONE	NONE	NONE	dərawá dəlawá	NONE	дрова		NONE
NONE	NONE	NONE	dərugój	NONE	другой		NONE
NONE	NONE	NONE	dəriáni	NONE	дрянь		NONE
NONE	NONE	NONE	dúmaj	NONE	думай		NONE
NONE	NONE	NONE	duláka	NONE	дурак		NONE
NONE	NONE	NONE	dírocheki	NONE	дырочка		NONE
NONE	NONE	NONE	ibiəmát'	NONE	ебенамать		NONE
NONE	NONE	NONE	iwó	NONE	его		NONE
NONE	NONE	NONE	jéli-jéli	NONE	еле-еле		NONE
NONE	NONE	NONE	jésa jest'	NONE	есть?		NONE
NONE	NONE	NONE	jési jésy	NONE	есть		NONE
NONE	NONE	NONE	is'ó	NONE	еще		NONE
NONE	NONE	NONE	Ʒaléj	NONE	жалей		NONE
NONE	NONE	NONE	Ʒáləkə	NONE	жалко		NONE
NONE	NONE	NONE	Ʒiná	NONE	жена		NONE
NONE	NONE	NONE	Ʒiníli	NONE	женили		NONE
NONE	NONE	NONE	Ʒénushəki	NONE	женушки		NONE
NONE	NONE	NONE	Ʒénəs'inə	NONE	женщина		NONE
NONE	NONE	NONE	Ʒisətóki	NONE	жестокий		NONE
NONE	NONE	NONE	Ʒyvá	NONE	жива		NONE
NONE	NONE	NONE	Ʒiwí	NONE	живи		NONE
NONE	NONE	NONE	Ʒiwótənə	NONE	животное		NONE
NONE	NONE	NONE	Ʒílə	NONE	жил		NONE
NONE	NONE	NONE	Ʒíli	NONE	жили		NONE
NONE	NONE	NONE	dƷiljó	NONE	жильё		NONE
NONE	NONE	NONE	Ʒa	NONE	за		NONE
NONE	NONE	NONE	Ʒabirála	NONE	забирала		NONE
NONE	NONE	NONE	Ʒaboli-lə	NONE	заболи		NONE
NONE	NONE	NONE	Ʒabýla	NONE	забыла		NONE
NONE	NONE	NONE	Ʒáftra	NONE	завтра		NONE
NONE	NONE	NONE	Ʒagrədíla	NONE	загородила		NONE
NONE	NONE	NONE	Ʒada	NONE	зад		NONE
NONE	NONE	NONE	taƷigálə	NONE	зажигала		NONE
NONE	NONE	NONE	ƷakaƷywaj	NONE	заказывай		NONE
NONE	NONE	NONE	Ʒakóna Ʒakuónə	NONE	закон		NONE
NONE	NONE	NONE	Ʒaméti	NONE	замети		NONE
NONE	NONE	NONE	Ʒapiráj	NONE	запирай		NONE
NONE	NONE	NONE	Ʒalabótaj	NONE	заработай		NONE
NONE	NONE	NONE	Ʒaxadí	NONE	заходи		NONE
NONE	NONE	NONE	Ʒaxodílə	NONE	заходила		NONE
NONE	NONE	NONE	Ʒaxaraní	NONE	захорони		NONE
NONE	NONE	NONE	Ʒachém	NONE	зачем		NONE
NONE	NONE	NONE	d'es' d'esia	NONE	здесь		NONE
NONE	NONE	NONE	darówə	NONE	здоровый		NONE
NONE	NONE	NONE	Ʒil'ónə	NONE	зелёный		NONE
NONE	NONE	NONE	Ʒiml'á	NONE	земля		NONE
NONE	NONE	NONE	Ʒimá	NONE	зима		NONE
NONE	NONE	NONE	Ʒimój	NONE	зимой		NONE
NONE	NONE	NONE	Ʒənáish	NONE	знаешь		NONE
NONE	NONE	NONE	Ʒənáj Ʒənáə	NONE	знай		NONE
NONE	NONE	NONE	Ʒənálə shənalə	NONE	знала		NONE
NONE	NONE	NONE	Ʒənásha	NONE	знаша		NONE
NONE	NONE	NONE	i	NONE	и		NONE
NONE	NONE	NONE	igaján	NONE	одинаково	рус.этн.	NONE
NONE	NONE	NONE	igláj	NONE	играй		NONE
NONE	NONE	NONE	igráj-igráj	NONE	играй-играй		NONE
NONE	NONE	NONE	íli	NONE	или		NONE
NONE	NONE	NONE	ímen	NONE	имя		NONE
NONE	NONE	NONE	iskáj	NONE	искай		NONE
NONE	NONE	NONE	ix íxə	NONE	их		NONE
NONE	NONE	NONE	íxin'	NONE	ихинь		NONE
NONE	NONE	NONE	kəchórətu	NONE	к чёрту		NONE
NONE	NONE	NONE	kabán	NONE	кабан		NONE
NONE	NONE	NONE	kákə gekaj	NONE	как		NONE
NONE	NONE	NONE	kakój	NONE	какой		NONE
NONE	NONE	NONE	káməni	NONE	камни		NONE
NONE	NONE	NONE	kan'tramí kantranií	NONE	каньтрами		NONE
NONE	NONE	NONE	kapitána	NONE	капитан		NONE
NONE	NONE	NONE	kapkán kapkánə	NONE	капкан		NONE
NONE	NONE	NONE	kapúsa	NONE	капуста		NONE
NONE	NONE	NONE	karápəchi	NONE	карапчить	красть	NONE
NONE	NONE	NONE	karaúla	NONE	караул		NONE
NONE	NONE	NONE	kárchikə	NONE	карточка		NONE
NONE	NONE	NONE	karətóshəka kərtúsha	NONE	картошка		NONE
NONE	NONE	NONE	kasájsa	NONE	касайся		NONE
NONE	NONE	NONE	káshli	NONE	кашляй		NONE
NONE	NONE	NONE	kilométəla	NONE	километр		NONE
NONE	NONE	NONE	kitajóza	NONE	китаёза		NONE
NONE	NONE	NONE	kitáj	NONE	китай		NONE
NONE	NONE	NONE	kitájski	NONE	китайский		NONE
NONE	NONE	NONE	kitájsə	NONE	китайца		NONE
NONE	NONE	NONE	kadá katá gaoxuda	NONE	когда		NONE
NONE	NONE	NONE	kózhə	NONE	кожи		NONE
NONE	NONE	NONE	kalódisə	NONE	колодец		NONE
NONE	NONE	NONE	kolój	NONE	колой		NONE
NONE	NONE	NONE	kolonókə	NONE	колонок		NONE
NONE	NONE	NONE	kaxóƷə	NONE	колхоз		NONE
NONE	NONE	NONE	kompániə	NONE	компания		NONE
NONE	NONE	NONE	kanéshənə	NONE	конечно		NONE
NONE	NONE	NONE	kantóri	NONE	контора		NONE
NONE	NONE	NONE	kancháj	NONE	кончай		NONE
NONE	NONE	NONE	kónchilə	NONE	кончила		NONE
NONE	NONE	NONE	kapáli kapáƷi	NONE	копали		NONE
NONE	NONE	NONE	kapéka	NONE	копейка		NONE
NONE	NONE	NONE	karéjsa	NONE	кореец		NONE
NONE	NONE	NONE	garóbəka	NONE	коробка		NONE
NONE	NONE	NONE	kasá	NONE	коса		NONE
NONE	NONE	NONE	kósti	NONE	кости		NONE
NONE	NONE	NONE	kotóryj	NONE	который		NONE
NONE	NONE	NONE	kəlasíwə	NONE	красивый		NONE
NONE	NONE	NONE	kərásinə	NONE	красный		NONE
NONE	NONE	NONE	kəricháj	NONE	кричай		NONE
NONE	NONE	NONE	kurəkómə	NONE	кругом		NONE
NONE	NONE	NONE	kəlupá	NONE	крупа		NONE
NONE	NONE	NONE	kriuchóka	NONE	крючок		NONE
NONE	NONE	NONE	kətó	NONE	кто		NONE
NONE	NONE	NONE	kudá	NONE	куда		NONE
NONE	NONE	NONE	kuda-tudá	NONE	куда-туда		NONE
NONE	NONE	NONE	kurúƷa	NONE	кукуруза		NONE
NONE	NONE	NONE	kupéza	NONE	купец		NONE
NONE	NONE	NONE	kupí	NONE	купи		NONE
NONE	NONE	NONE	kupíla	NONE	купила		NONE
NONE	NONE	NONE	kupíli	NONE	купили		NONE
NONE	NONE	NONE	kuritsa kulitsái	NONE	курица		NONE
NONE	NONE	NONE	kúrema	NONE	курема		NONE
NONE	NONE	NONE	kusóka	NONE	кусок		NONE
NONE	NONE	NONE	kúchə	NONE	куча		NONE
NONE	NONE	NONE	kúshəj	NONE	кушай		NONE
NONE	NONE	NONE	kusháxu	NONE	кушаху		NONE
NONE	NONE	NONE	kúshi kúshə	NONE	куши		NONE
NONE	NONE	NONE	kúshi-kúshi	NONE	куши-куши		NONE
NONE	NONE	NONE	lána	NONE	ладно		NONE
NONE	NONE	NONE	láƷi	NONE	лази		NONE
NONE	NONE	NONE	latúza	NONE	латуза	???	NONE
NONE	NONE	NONE	ledenéƷa	NONE	леденец		NONE
NONE	NONE	NONE	likástəfa	NONE	лекарство		NONE
NONE	NONE	NONE	liésa	NONE	лес		NONE
NONE	NONE	NONE	let	NONE	лет		NONE
NONE	NONE	NONE	létə	NONE	лето		NONE
NONE	NONE	NONE	lechíə	NONE	лечи		NONE
NONE	NONE	NONE	li	NONE	ли		NONE
NONE	NONE	NONE	lishika	NONE	лишка		NONE
NONE	NONE	NONE	lótəkə	NONE	лодка		NONE
NONE	NONE	NONE	lósa	NONE	ложи		NONE
NONE	NONE	NONE	lamáj	NONE	ломай		NONE
NONE	NONE	NONE	lamájla	NONE	ломайла		NONE
NONE	NONE	NONE	lamálə	NONE	ломала		NONE
NONE	NONE	NONE	lúche	NONE	лучше		NONE
NONE	NONE	NONE	liúda-liúda	NONE	люда-люда		NONE
NONE	NONE	NONE	l'údi	NONE	люди		NONE
NONE	NONE	NONE	l'ag	NONE	ляг		NONE
NONE	NONE	NONE	magazínə maaƷínə	NONE	магазин		NONE
NONE	NONE	NONE	madáma	NONE	мадама		NONE
NONE	NONE	NONE	málin'	NONE	малень		NONE
NONE	NONE	NONE	málin'kə málen'ki	NONE	маленький		NONE
NONE	NONE	NONE	málisa	NONE	малица		NONE
NONE	NONE	NONE	málə	NONE	мало		NONE
NONE	NONE	NONE	maladój	NONE	молодой		NONE
NONE	NONE	NONE	máma	NONE	мама		NONE
NONE	NONE	NONE	mamandí	NONE	подожди	рус.этн.	NONE
NONE	NONE	NONE	mámka	NONE	жена		NONE
NONE	NONE	NONE	manéra	NONE	манера		NONE
NONE	NONE	NONE	manúla	NONE	обманывать		NONE
NONE	NONE	NONE	marətýnixə	NONE	Мартыниха		NONE
NONE	NONE	NONE	mashína maséŋ masínə	NONE	машина		NONE
NONE	NONE	NONE	mashíŋka	NONE	мошенничество		NONE
NONE	NONE	NONE	miné	NONE	меня		NONE
NONE	NONE	NONE	m'éstə	NONE	место		NONE
NONE	NONE	NONE	mésiaƷa	NONE	месяц		NONE
NONE	NONE	NONE	méxa	NONE	мех		NONE
NONE	NONE	NONE	misháə	NONE	мешай		NONE
NONE	NONE	NONE	mishókə	NONE	мешок		NONE
NONE	NONE	NONE	nógo	NONE	много		NONE
NONE	NONE	NONE	nóƷkə	NONE	множко		NONE
NONE	NONE	NONE	mógu	NONE	могу		NONE
NONE	NONE	NONE	móƷe	NONE	може		NONE
NONE	NONE	NONE	móƷeno	NONE	можно		NONE
NONE	NONE	NONE	moj	NONE	мой		NONE
NONE	NONE	NONE	monéƷa	NONE	монеты/деньги		NONE
NONE	NONE	NONE	mórəda	NONE	морда		NONE
NONE	NONE	NONE	móre	NONE	море		NONE
NONE	NONE	NONE	majá	NONE	моя		NONE
NONE	NONE	NONE	múƷa	NONE	муж		NONE
NONE	NONE	NONE	muƷíkə	NONE	мужик		NONE
NONE	NONE	NONE	musínnə	NONE	мужчина		NONE
NONE	NONE	NONE	muká	NONE	мука		NONE
NONE	NONE	NONE	múchi	NONE	мучиться		NONE
NONE	NONE	NONE	my	NONE	мы		NONE
NONE	NONE	NONE	m'ásə	NONE	мясо		NONE
NONE	NONE	NONE	m'at'	NONE	мять		NONE
NONE	NONE	NONE	na	NONE	на		NONE
NONE	NONE	NONE	nasópkə	NONE	на сопке		NONE
NONE	NONE	NONE	naúlica	NONE	на улице		NONE
NONE	NONE	NONE	nach'orətə	NONE	на чёрта		NONE
NONE	NONE	NONE	naérna náina	NONE	наверно		NONE
NONE	NONE	NONE	náda nadu	NONE	надо		NONE
NONE	NONE	NONE	nazywáj	NONE	называй		NONE
NONE	NONE	NONE	naléj	NONE	налей		NONE
NONE	NONE	NONE	nalílə	NONE	налила		NONE
NONE	NONE	NONE	nanájsa	NONE	нанаец		NONE
NONE	NONE	NONE	nása	NONE	наша		NONE
NONE	NONE	NONE	nashuóla	NONE	нашёл		NONE
NONE	NONE	NONE	nashəlá	NONE	нашла		NONE
NONE	NONE	NONE	nashlí	NONE	нашли		NONE
NONE	NONE	NONE	ni ne na	NONE	не		NONE
NONE	NONE	NONE	niuípej	NONE	не выпей		NONE
NONE	NONE	NONE	nináj	NONE	не знай		NONE
NONE	NONE	NONE	nimagú	NONE	не могу		NONE
NONE	NONE	NONE	niƷ'á	NONE	нельзя		NONE
NONE	NONE	NONE	ninóskə ninóshkə	NONE	немножко		NONE
NONE	NONE	NONE	nepereména	NONE	непременно		NONE
NONE	NONE	NONE	net	NONE	нет		NONE
NONE	NONE	NONE	nétu nítu	NONE	нету		NONE
NONE	NONE	NONE	nétula	NONE	нетула		NONE
NONE	NONE	NONE	nixarashó	NONE	нехорошо		NONE
NONE	NONE	NONE	niƷə	NONE	вниз		NONE
NONE	NONE	NONE	n'oxtó	NONE	никто		NONE
NONE	NONE	NONE	nichó	NONE	ничего		NONE
NONE	NONE	NONE	nichimóuƷa	NONE	ничимоза		NONE
NONE	NONE	NONE	nóchə	NONE	ночь		NONE
NONE	NONE	NONE	nóchu	NONE	ночью		NONE
NONE	NONE	NONE	nu	NONE	ну		NONE
NONE	NONE	NONE	n'ánchi	NONE	нянчить		NONE
NONE	NONE	NONE	ogoródə nagaródə	NONE	огород		NONE
NONE	NONE	NONE	kuliétsa agurtsá	NONE	огурец		NONE
NONE	NONE	NONE	ədín adín odína	NONE	одинаково		NONE
NONE	NONE	NONE	ədinákə	NONE	одинаковый		NONE
NONE	NONE	NONE	aƷinílə	NONE	оженила	жениться	NONE
NONE	NONE	NONE	akənó	NONE	окно		NONE
NONE	NONE	NONE	aná	NONE	она		NONE
NONE	NONE	NONE	apusəkájla	NONE	опускайла		NONE
NONE	NONE	NONE	osóba	NONE	особо		NONE
NONE	NONE	NONE	astáwi / osatawl'áj	NONE	оставь		NONE
NONE	NONE	NONE	adawáj	NONE	отдавай		NONE
NONE	NONE	NONE	dixáj	NONE	отдыхай		NONE
NONE	NONE	NONE	oxótə naxótu	NONE	охотай		NONE
NONE	NONE	NONE	oxótəj	NONE	охотай		NONE
NONE	NONE	NONE	pampús'əka	NONE	пампушка		NONE
NONE	NONE	NONE	pánty páŋty	NONE	панты		NONE
NONE	NONE	NONE	pápa	NONE	папа		NONE
NONE	NONE	NONE	palawóƷə	NONE	паровоз		NONE
NONE	NONE	NONE	paraxóudə	NONE	пароход		NONE
NONE	NONE	NONE	pechinéseki	NONE	пекинский		NONE
NONE	NONE	NONE	peleméni	NONE	пельмени		NONE
NONE	NONE	NONE	péricə	NONE	перец		NONE
NONE	NONE	NONE	péreda	NONE	перед		NONE
NONE	NONE	NONE	pir'ót	NONE	перёд (сначала)		NONE
NONE	NONE	NONE	péchi	NONE	печь		NONE
NONE	NONE	NONE	pilí	NONE	пили		NONE
NONE	NONE	NONE	piliúli	NONE	пилюли		NONE
NONE	NONE	NONE	pishí	NONE	пиши		NONE
NONE	NONE	NONE	plákaj	NONE	плакай		NONE
NONE	NONE	NONE	pəlatí	NONE	плати		NONE
NONE	NONE	NONE	lóxə plóxə	NONE	плохо		NONE
NONE	NONE	NONE	po	NONE	по		NONE
NONE	NONE	NONE	pəsópka	NONE	по сопкам		NONE
NONE	NONE	NONE	powési	NONE	повеси		NONE
NONE	NONE	NONE	pagawalí	NONE	поговори		NONE
NONE	NONE	NONE	pogúli	NONE	погули		NONE
NONE	NONE	NONE	podə	NONE	под		NONE
NONE	NONE	NONE	toudíləjlə	NONE	поделила		NONE
NONE	NONE	NONE	podoƷədí	NONE	подожди		NONE
NONE	NONE	NONE	padúməj	NONE	подумай		NONE
NONE	NONE	NONE	poƷiwí	NONE	поживи		NONE
NONE	NONE	NONE	paƷiwú	NONE	поживу		NONE
NONE	NONE	NONE	pod'ót	NONE	пойдёт		NONE
NONE	NONE	NONE	palíca	NONE	полиция		NONE
NONE	NONE	NONE	pokázywaj	NONE	показывай		NONE
NONE	NONE	NONE	pokolotí	NONE	поколоти		NONE
NONE	NONE	NONE	pólnote	NONE	полноте		NONE
NONE	NONE	NONE	pólənə	NONE	полный		NONE
NONE	NONE	NONE	pamisháj	NONE	помешай		NONE
NONE	NONE	NONE	pamitóla	NONE	помидор		NONE
NONE	NONE	NONE	pamiráj	NONE	помирай		NONE
NONE	NONE	NONE	pomirála pomirlá	NONE	помирала		NONE
NONE	NONE	NONE	pómilə	NONE	помнила		NONE
NONE	NONE	NONE	pamagáj	NONE	помогай		NONE
NONE	NONE	NONE	pamagála	NONE	помогала		NONE
NONE	NONE	NONE	panimáj	NONE	понимай		NONE
NONE	NONE	NONE	ponosí	NONE	поноси		NONE
NONE	NONE	NONE	papála	NONE	попала		NONE
NONE	NONE	NONE	papála	NONE	попало		NONE
NONE	NONE	NONE	parúski	NONE	по-русски		NONE
NONE	NONE	NONE	pasadí	NONE	посади		NONE
NONE	NONE	NONE	pasadíl	NONE	посадил		NONE
NONE	NONE	NONE	posadíli	NONE	посадили		NONE
NONE	NONE	NONE	posidí	NONE	посиди		NONE
NONE	NONE	NONE	pósəle pósəlia	NONE	после		NONE
NONE	NONE	NONE	posəmatrí	NONE	посмотри		NONE
NONE	NONE	NONE	pastávi	NONE	постави		NONE
NONE	NONE	NONE	pəstávi	NONE	поставь		NONE
NONE	NONE	NONE	pəstojánə	NONE	постоянно		NONE
NONE	NONE	NONE	potóm	NONE	потом		NONE
NONE	NONE	NONE	potorgowáj	NONE	поторговай		NONE
NONE	NONE	NONE	poumiláj	NONE	поумирай		NONE
NONE	NONE	NONE	poumilájlə	NONE	поумирала		NONE
NONE	NONE	NONE	poxódi	NONE	походи		NONE
NONE	NONE	NONE	pachóma	NONE	почём		NONE
NONE	NONE	NONE	pochiwáj	NONE	потчевать		NONE
NONE	NONE	NONE	pochetó	NONE	почто		NONE
NONE	NONE	NONE	pəsól	NONE	пошёл		NONE
NONE	NONE	NONE	pərávina burávina	NONE	правильно		NONE
NONE	NONE	NONE	pulibejwej	NONE	прибавь		NONE
NONE	NONE	NONE	pərijéxal	NONE	приехал		NONE
NONE	NONE	NONE	pərishólə bolishólə	NONE	пришёл		NONE
NONE	NONE	NONE	pirishiwáj	NONE	пришивай		NONE
NONE	NONE	NONE	bulijatil	NONE	приятель		NONE
NONE	NONE	NONE	pərəviŋ	NONE	провинция		NONE
NONE	NONE	NONE	pəradawáj	NONE	продавай		NONE
NONE	NONE	NONE	pərodajót	NONE	продаёт		NONE
NONE	NONE	NONE	pəropadí	NONE	пропади		NONE
NONE	NONE	NONE	bulosi	NONE	проси		NONE
NONE	NONE	NONE	pəriáma bul'aoma	NONE	прямо		NONE
NONE	NONE	NONE	pər'áchi	NONE	прячи		NONE
NONE	NONE	NONE	pər'áchila	NONE	прячила		NONE
NONE	NONE	NONE	pusəkáj	NONE	пускай		NONE
NONE	NONE	NONE	pusəkájla	NONE	пускайла		NONE
NONE	NONE	NONE	shinísa	NONE	пшеница		NONE
NONE	NONE	NONE	pitnásati	NONE	пятнадцать		NONE
NONE	NONE	NONE	p'ach	NONE	пять		NONE
NONE	NONE	NONE	pis'át	NONE	пятьдесят		NONE
NONE	NONE	NONE	p'asóƷə	NONE	пятьсот		NONE
NONE	NONE	NONE	robótə	NONE	работа		NONE
NONE	NONE	NONE	robótəj	NONE	работай		NONE
NONE	NONE	NONE	lobódalə	NONE	работала		NONE
NONE	NONE	NONE	lobóchi	NONE	рабочий		NONE
NONE	NONE	NONE	ráƷə	NONE	раз		NONE
NONE	NONE	NONE	ráznə	NONE	разный		NONE
NONE	NONE	NONE	lán'se alán'se	NONE	раньше		NONE
NONE	NONE	NONE	rast'ó	NONE	растёт		NONE
NONE	NONE	NONE	rasí	NONE	расти		NONE
NONE	NONE	NONE	rísə lísə	NONE	рис		NONE
NONE	NONE	NONE	róunə	NONE	ровный		NONE
NONE	NONE	NONE	ródiŋ	NONE	родина		NONE
NONE	NONE	NONE	roséju	NONE	россия		NONE
NONE	NONE	NONE	rubáxa	NONE	рубаха		NONE
NONE	NONE	NONE	rúbli lúbəli	NONE	рубль		NONE
NONE	NONE	NONE	lugáj	NONE	ругай		NONE
NONE	NONE	NONE	rúskə	NONE	русский		NONE
NONE	NONE	NONE	rýba líba lýba lípa	NONE	рыба		NONE
NONE	NONE	NONE	ribáchi	NONE	рыбачи		NONE
NONE	NONE	NONE	riumásheki	NONE	рюмашка		NONE
NONE	NONE	NONE	r'úmkə	NONE	рюмка		NONE
NONE	NONE	NONE	r'ádəm	NONE	рядом		NONE
NONE	NONE	NONE	s	NONE	с		NONE
NONE	NONE	NONE	səpalavína	NONE	с половиной		NONE
NONE	NONE	NONE	sadí	NONE	сади		NONE
NONE	NONE	NONE	sadílə	NONE	садила		NONE
NONE	NONE	NONE	sadíli	NONE	садили		NONE
NONE	NONE	NONE	saƷáj	NONE	сажай		NONE
NONE	NONE	NONE	salátə	NONE	салат		NONE
NONE	NONE	NONE	sála	NONE	сало		NONE
NONE	NONE	NONE	sam	NONE	сам		NONE
NONE	NONE	NONE	sáma	NONE	сама		NONE
NONE	NONE	NONE	s'ókəlai	NONE	свёкла		NONE
NONE	NONE	NONE	swája	NONE	своя		NONE
NONE	NONE	NONE	sədajóm	NONE	сдаём		NONE
NONE	NONE	NONE	sibé	NONE	себе		NONE
NONE	NONE	NONE	səwónni	NONE	сегодня		NONE
NONE	NONE	NONE	seƷa	NONE	сеза	мальчик (рус.этн.)	NONE
NONE	NONE	NONE	sis'ás sh'ásə sichásə	NONE	сейчас		NONE
NONE	NONE	NONE	serədíƷa	NONE	сердиться		NONE
NONE	NONE	NONE	siérca	NONE	сердце		NONE
NONE	NONE	NONE	sircháj	NONE	серчай		NONE
NONE	NONE	NONE	sidí	NONE	сиди		NONE
NONE	NONE	NONE	sil'nə	NONE	сильно		NONE
NONE	NONE	NONE	skázka	NONE	сказка		NONE
NONE	NONE	NONE	səkaƷywáj	NONE	сказывай		NONE
