word	pinyin_final	origin	lang	rus_transcription	syllables
哈勒瓦	hālèwǎ	халва	哈尔娃	халвА	lè
哈麦新风	hāmàixīn(fēng)	хамсин		хамс’Ин	mài
哈契奇(板)	hāqìqī(bǎn)	пхачич	адыгский	пхач’Ич’	qī
赫罗拉契	hèluólāqì	хлоратит		хлърат’Ит	hè
赫罗姆卡	hèluómǔkǎ	хромка		хрОмкъ	hè_mǔ
赫洛福斯	hèluòfúsī	хлорофос		хлърафОс	hè_sī
黑列巴	hēilièbā	хлеб		хл’Эп	hēi_bā
呼特巴	hūtèbā	хутба		хУдба	tè
霍尔特(狗)	huǒ'ěrtè(gǒu)	хорт		хОрт	tè
基什拉克	jīshílākè	кишлак		к’ишлАк	shí_kè
基兹利亚尔(酒)	jīzīlìyà'ěr(jiǔ)	кизлярка		к’изл’Аркъ	zī
建克曼	jiékèmàn	чекмень		ч’икм’Эн’	kè
九丝列(琴)	jiǔsīliè(qín)	кюсле		к’усл’э	sī
卡普隆	kǎpǔlóng	капрон	卡普纶 卡玻纶	капрОн	pǔ
堪地勒(苹果)	kāndìlè(píngguǒ)	кандиль		кан’д’Ил’	lè
坎克列斯(琴)	kǎnkèlièsī(qín)	канклес	литовский	кАнкл’ьс	kè_sī
 康达克特	kāngdǎkètè	контакт		кантАкт	kè_tè
康塔里	kāngtǎlǐ	контарь	арабский	кантАр’	lǐ
柯布札	kēbùzhá	кобза		кОбзъ	bù
科尔火支	kē'ěrhuǒzhī	колхоз		калхОс	zhī
克拉科维克	kèlākēwéikè	краковяк		кръкав’Ак	kè_kè
克雷扎卓克	kèléizházhuōkè	крыжачок		крыжач’Ок	kè_kè
克里姆林(宫)	kèlǐmǔlín(gōng)	Кремль	через англ	кр’Эмл’	kè_mǔ
克维尔克特(呢)	kèwéi'ěrkètè(ní)	коверкот		къв’иркОт	tè
客里空	kèlǐkōng	крикун		кр’икУн	kè
库奥克列(琴)	kù'àokèliè(qín)	кокле		кОкл’ь	kè
蓝威斯曼	lánwēisīmàn	ранверсман		ранв’эрсман	sī
勒涅特喀(苹果)	lèniètèkā(píngguǒ)	ранетка		ран’Эткъ	tè
里斯图比亚利(舞)	lǐsītúbǐyālì(wǔ)	ристу-пяре	карельский	р’Иступ’Аръ	sī
里斯图孔德拉(舞)	lǐsītúkǒngdélā(wǔ)	ристу-кондра	карельский	р’ИстукОндръ	sī_dé
列兹金卡(舞)	lièzījīnkǎ(wǔ)	лезгинка		л’изг’Инкъ	zī
卢布	lúbù	рубль		рУбл’	bù
马克思列宁(主义)	mǎkèsīlièníng(zhǔyì)	маркс(изм-)ленин(изм)		маркс’Измл’ьн’ин’Изм	kè_sī
马克寻(鱼)	mǎkèxún(yú)	максун		максУн	kè
曼台斯(牛)	màntáisī(niú)	мендез		м’эндэс	sī
蒙特克里斯托(枪)	méngtèkèlǐsītuō(qiāng)	Монтекристо		монтэкр’Истъ	kè_sī
孟什维克	mèngshíwéikè	меньшевик	门室维克	м’ьн’шыв’Ик	kè
莫斯卡里	mōsīkǎlǐ	москаль		маскАл’	sī_lǐ
耐普曼	nàipǔmàn	нэпман		нЭпман	pǔ
尼莱吉斯特	níláijísītè	нирезист		н’ир’из’Ист	sī_tè
尼特龙	nítèlóng	нитрон		н’итрОн	tè
帕什得特	pàshídétè	паштет	польский	пашт’Эт	shí_tè
朴罗纳尔康	pǔluónà'ěrkāng	пронаркон		прънаркОн	pǔ
普罗美多	pǔluóměiduō	промедол		пръм’идОл	pǔ
齐斯特拉(琴)	qísītèlā(qín)	цистра		цЫстръ	sī_tè
奇木波(笛)	qímùbō(dí)	чимпой		ч’импОй’	mù
恰特	qiàtè	театр	через левый какой-то язык	т’иАтр	tè
锵克(琴)	qiāngqè(qín)	чанк		ч’Анк	qè
乔特卡(舞)	qiáotèkǎ(wǔ)	чечетка		ч’ич’Откъ	tè
切尔逢涅茨	qiē'ěrféngniècí	червонец		ч’ирвОн’ьц	cí
切列巴施	qiēlièbāshīkǎ	черепашка		ч’ьр’ипАшкъ	shī
萨夫火支	sàfūhuǒzhī	совхоз		сафхОс	fū_zhī
赛珞切克斯	sàiluòqièkèsī	целлотекс		цылатЭкс	kè_sī
三达斯特	sāndásītè	сендаст		сэндАст	sī_tè
沙尔特什(笛)	shā'ěrtèshí(dí)	шиалтыш		шыалтыш	shí
沙赫里查(笛)	shāhèlǐchá(dí)	шахлича		шахл’ич’а	hè
沙普克	shāpǔkè	шапка		шАпкъ	pǔ
施查普什纳(琴)	shīchápǔshínà(qín)	шичапшина		шыч’ипшЫнъ	pǔ
施切普申(琴)	shīqièpǔshēn(qín)	шичепшин		шыч’ипшЫн	pǔ
什卡利克	shíkǎlìkè	шкалик		шкАл’ьк	shí_kè
什托夫	shítuōfū	штоф		штОф	shí_fū
什托斯	shítuōsī	штосс		штОс	shí_sī
什维(笛)	shíwéi(dí)	шви		шв’И	shí
舒姆卡(舞)	shūmǔkǎ(wǔ)	шумка		шУмкъ	mǔ
司贝兹加(笛)	sībèizíjiā(dí)	сыбызга		сыбызгА	zí
司梅兹加(笛)	sīméizíjiā(dí)	сымызга		сымызгА	zí
斯巴达克 运动团	sībādákè	спартак		спартАк	sī_kè
斯科契那(舞)	sīkēqìnà(wǔ)	скочна		скач’нА	sī_qì
斯普特尼克	sīpǔtèníkè	спутник		спУт’н’ьк	sī_tè_kè
斯坦尼茨	sītǎnnící	станица		стан’Ицъ	sī
斯特立沙克(舞)	sītèlìshākè(wǔ)	страшак		стрАшък	sī_tè_kè
斯特罗衣查(节)	sītèluóyīchā(jié)	троица(~ын день)		трОицън	tè
斯特维利(笛)	sītèwéilì(dí)	ствири		ств’Ир’ь	sī_tè
斯锑普锑轻	sītīpǔtīqīng	стиптицин		с’т’ьпт’ицЫн	sī_pǔ
斯提赫	sītíhè	штих		шт’Их	sī_hè
苏伏泼林	sūfúpōlín	совпрен		софпр’Эн	fú_pō
苏克提尼斯(舞)	sūkètínísī(wǔ)	суктинис		сукт’ин’ис	kè_sī
索立伐	suǒlìfá	сольвар		сОл’вър	lì
塔夫拉克罐鼓	tǎfūlākè(guàngǔ)	тавляк	таджикский	тавл’ак	fū_kè
特里波里(文化)	tèlǐbōlǐ(wénhuà)	триполье(~ская культура)		тр’ипОл’iь	tè
特里米塔(排萧)	tèlǐmǐtǎ(páixiāo)	тримитас		тр’им’итас	tè
特连比达(号)	tèliánbǐdá(hào)	трембита		тр’им’б’Ита	tè
特烈帕克(舞)	tèlièpàkè(wǔ)	трепак		тр’ипАк	tè_kè
特罗利图耳	tèluólìtú'ěr	тролитул		тръл’итУл	tè
托洛茨基(派)	tuōluócíjī(pài)	троцкий(троцкист)		трацк’Ист	tuōcí
托其卡	tuōqíkǎ	точка		тОч’къ	qí
维得罗	wéidéluó	ведро	维德罗 维特罗	в’идрО	dé
维尔夫	wéi'ěrfū	вервь		в’Эрф’	fū
维尔木特(酒)	wéi'ěrmùtè(jiǔ)	вермут		в’Эрмут	tè
维尔勺克	wéi'ěrsháokè	вершок		в’иршОк	kè
维尔斯特	wéi'ěrsītè	верста		в’ирстА	sī
维克萨钦(油布)	wéikèsàqīn(yóubù)	виксатин		в’ьксат’Ин	kè
维斯考金(油)	wéisīkǎojīn(yóu)	вискозин		в’ьсказ’Ин	sī
沃里塔(布)	wòlǐtǎ(bù)	вольта		вол’та	lǐ
沃里托李	wòlǐtuōlǐ	вольтоли		вал’тОл’ь	lǐ
乌达勃诺(古猿)	wūdábónuò(gǔyuán)	удабнопитек		удабно	bó
乌治(舞)	wūzhì(wǔ)	удж		Утш	zhì
乌兹了	wūzīliáo	узляу		узл’Ау	zī
西尔赫洛姆(铁)	xī'ěrhèluòmǔ(tiě)	сильхром		с’ил’хрОм	hè_mǔ
西姆德(舞)	xīmǔdé(wǔ)	симд		с’имт	mǔ_dé
矽罗克西康	xīluòkèxīkāng	силоксикон		с’илъкс’икОн	kè
谢朴托弗拉文	xièpǔtuōfúlāwén	септофлавин		с’иптъфлав’Ин	pǔ_fú
雅赫维	yǎhèwéi	яхве		й’Ахв’ъ	hè
雅蕾克(舞)	yǎlěikè(wǔ)	яльке		й’ал’к’э	lěi
伊斯拉梅(舞)	yīsīlāméi(wǔ)	исламей		ислам’Эi	sī
尤罗奇卡(舞)	yóuluóqíkǎ(wǔ)	юрочка		й’Уръч’къ	qí
卓克(舞)	zhuōkè(wǔ)	джок		джОк	kè
