label_ru	label_zh	translit	syllables
козловка	科兹洛夫卡	kēzīluòfūkǎ	zī_fū
белорецк	别洛列茨克	biéluòliècíkè	cí_kè
бердск	别尔茨克	biéěrcíkè	cí_kè
березники	别列兹尼基	biélièzīníjì	zī
княгинино	克尼亚吉尼诺	kèníyàjínínuò	kè
ковдор	科夫多尔	kēfūduōěr	fū
берёзовский	别廖佐夫斯基	biéliáozuǒfūsījī	fū_sī
беслан	别斯兰	biésīlán	sī
кодинск	科金斯克	kējīnsīkè	sī_kè
козельск	科泽利斯克	kēzélìsīkè	lì_sī_kè
болотное	博洛特诺耶	bóluòtènuòyē	tè
лениногорск	列宁诺戈尔斯克	lièníngnuògēěrsīkè	sī_kè
ленинск	列宁斯克	lièníngsīkè	sī_kè
бирюсинск	比留辛斯克	bǐliúxīnsīkè	sī_kè
бирск	比尔斯克	bǐěrsīkè	sī_kè
лихославль	利库斯拉夫尔	lìkùsīlāfūěr	sī_fū
лобня	洛布尼亚	luòbùníyà	bù
ленск	连斯克	liánsīkè	sī_kè
лермонтов	莱蒙托夫	láimēngtuōfū	fū
каменногорск	卡缅诺戈尔斯克	kǎmiǎnnuògēěrsīkè	sī_kè
кондрово	孔德罗沃	kǒngdéluówò	dé
константиновск	康斯坦丁诺夫斯克	kāngsītǎndīngnuòfūsīkè	sī_fū_sī_kè
ливны	利夫内	lìfūnèi	fū
благодарный	布拉戈达尔内	bùlāgēdáěrnèi	bù
бобров	博布罗夫	bóbùluófū	bù_fū
богданович	波格丹诺维奇	bōgēdānnuòwéiqí	gē_qí
благовещенск	布拉戈维申斯克	bùlāgēwéishēnsīkè	bù_sī_kè
липки	利普基	lìpǔjī	pǔ
лиски	利斯基	lìsījī	sī
белоярск-	别洛亚尔斯克	biéluòyàěrsīkè	sī_kè
коряжма	科里亚日马	kēlǐyàrìmǎ	rì
котельнич	科捷利尼奇	kējiélìníqí	lì_qí
котлас	科特拉斯	kētèlāsī	tè_sī
котовск	科托夫斯克	kētuōfūsīkè	fū_sī_kè
кохма	科赫马	kēhèmǎ	hè
лосино петровский	洛西诺-彼得罗夫斯基	luòxīnuòbǐdéluófūsījī	dé_fū_sī
лысково	雷斯科沃	léisīkēwò	sī
богородицк	博戈罗季茨克	bógēluójìcíkè	cí_kè
богородск	博戈罗茨克	bógēluócíkè	cí_kè
кологрив	科洛格里夫	kēluògélǐfū	gé_fū
каменск уральский	乌拉尔地区卡缅斯克	wūlāěrdìqūkǎmiǎnsīkè	sī_kè
малмыж	马尔梅日	mǎěrméirì	rì
малоархангельск	小阿尔汉格尔斯克	xiǎoāěrhàngéěrsīkè	sī_kè
малоярославец	小雅罗斯拉夫韦茨	xiǎoyǎluósīlāfūwéicí	sī_cí
кораблино	科拉布利诺	kēlābùlìnuò	bù
донецк	顿涅茨克	dùnniècíkè	cí_kè
костерёво	科斯捷列沃	kēsījiélièwò	sī
никольское	尼科尔斯科耶	níkēěrsīkēyé	sī
урюпинск	乌留平斯克	wūliúpíngsīkè	sī_kè
чернушка	切尔努什卡	qiēěrnǔshíkǎ	shí
красный холм	红霍尔姆	hónghuòěrmǔ	mǔ
подпорожье	波德波罗日耶	bōdébōluórìyē	dé_rì
светогорск	斯韦托戈尔斯克	sīwéituōgēěrsīkè	sī_kè
приозерск	普里奥焦尔斯克	pǔlǐàojiāoěrsīkè	pǔ_sī_kè
кингисепп	金吉谢普	jīnjíxièpǔ	pǔ
буйнакск	布伊纳克斯克	bùyīnàkèsīkè	kè_sī_kè
бутурлиновка	布图尔利诺夫卡	bùtúěrlìnuòfūkǎ	fū
кольчугино	科利丘吉诺	kēlìqiūjínuò	lì
дегтярск	杰格佳尔斯克	jiégéjiāěrsīkè	gé_sī_kè
кувшиново	库夫希诺沃	kùfūxīnuòwò	fū
кудымкар	库德姆卡尔	kùdémǔkǎěr	mǔ
кувандык	库万德克	kùwàndékè	kè
всеволожск	弗谢沃洛日斯克	fúxièwòluòrìsīkè	fú_rì_sī_kè
высоцк	维索茨克	wéisuǒcíkè	cí_kè
лыткарино	雷特卡里诺	léitèkǎlǐnuò	tè
братск	布拉茨克	bùlācíkè	bù_cí_kè
кировск	基洛夫斯克	jīluòfūsīkè	fū_sī_kè
приморск	普里莫尔斯克	pǔlǐmòěrsīkè	pǔ_sī_kè
сертолово	谢尔托洛夫	xièěrtuōluòfū	fū
мглин	姆格林	mǔgélín	mǔ_gé
бугуруслан	布古鲁斯兰	bùgǔlǔsīlán	sī
нижний новгород	下诺夫哥罗德	xiànuòfūgēluódé	fū_dé
курильск	库里尔斯克	kùlǐěrsīkè	sī_kè
мыски	梅斯基	méisījī	sī
малгобек	马尔戈别克	mǎěrgēbiékè	kè
красновишерск	克拉斯诺维舍尔斯克	kèlāsīnuòwéishèěrsīkè	kè_sī_sī_kè
кстово	克斯托沃	kèsītuōwò	kè_sī
сланцы	斯兰齐	sīlánqí	sī
межгорье	梅日戈尔耶	méirìgēěryē	rì
бахчисарай	巴赫奇萨赖	bāhèqísàlài	hè
медвежьегорск	梅德韦日耶戈尔斯克	méidéwéirìyēgēěrsīkè	dé_sī_kè
краснослободск	克拉斯诺斯洛博茨克	kèlāsīnuòsīluòbócíkè	kè_sī_cí_kè
мариинский посад	马林斯基镇	mǎlínsījīzhèn	sī
будённовск	布琼诺夫斯克	bùqióngnuòfūsīkè	fū_sī_kè
буинск	布因斯克	bùyīnsīkè	sī_kè
краснотурьинск	克拉斯诺图林斯克	kèlāsīnuòtúlínsīkè	kè_sī_sī_kè
белореченск	别洛列琴斯克	biéluòlièqínsīkè	sī_kè
кыштым	克什特姆	kèshítèmǔ	shí_mǔ
можайск	莫扎伊斯克	mòzhāyīsīkè	sī_kè
михайлов	米哈伊洛夫	mǐhāyīluòfū	fū
тихвин	季赫温	jìhèwēn	hè
абинск	阿宾斯克	ābīnsīkè	sī_kè
апшеронск	阿普歇伦斯克	āpǔxiēlúnsīkè	pǔ_sī_kè
лабытнанги	拉贝特南吉	lābèitènánjí	tè
льгов	利戈夫	lìgēfū	lì_fū
темрюк	捷姆留克	jiémǔliúkè	mǔ_kè
георгиевск	格奥尔吉耶夫斯克	géàoěrjíyēfūsīkè	fū_sī_kè
новороссийск	新罗西斯克	xīnluóxīsīkè	sī_kè
кяхта	恰克图	qiàkètú	kè
боровск	博罗夫斯克	bóluófūsīkè	fū_sī_kè
тосно	托斯诺	tuōsīnuò	sī
кореновск	科列诺夫斯克	kēliènuòfūsīkè	fū_sī_kè
хадыженск	哈德任斯克	hādérènsīkè	sī_kè
дагестанские огни	达吉斯坦奥格尼	dájísītǎnàogéní	gé
междуреченск	梅日杜列琴斯克	méirìdùlièqínsīkè	rì_sī_kè
можга	莫日加	mòrìjiā	rì
минусинск	米努辛斯克	mǐnǔxīnsīkè	sī_kè
менделеевск	门捷列夫斯克	ménjiélièfūsīkè	fū_sī_kè
красавино	克拉萨维诺	kèlāsàwéinuò	kè
сясьстрой	夏西斯特罗伊	xiàxīsītèluóyī	xī_sī_tè
костомукша	科斯托穆克沙	kēsītuōmùkèshā	sī_kè
котельниково	科捷利尼科沃	kējiélìníkēwò	lì
краснозаводск	克拉斯诺扎沃茨克	kèlāsīnuòzāwòcíkè	kè_sī_cí_kè
краснознаменск	红兹纳缅斯克	hóngzīnàmiǎnsīkè	sī_kè
краснознаменск	克拉斯诺兹纳缅斯克	kèlāsīnuòzīnàmiǎnsīkè	kè_sī_zī_sī_kè
омск	鄂木斯克	èmùsīkè	mù_sī_kè
краснокаменск	克拉斯诺卡缅斯克	kèlāsīnuòkǎmiǎnsīkè	kè_sī_sí_kè
краснокамск	克拉斯诺卡姆斯克	kèlāsīnuòkǎmǔsīkè	kè_sī_mǔ_sī_kè
ростов на дону	顿河畔罗斯托夫	dùnhépànluósītuōfū	sī_fū
медногорск	梅德诺戈尔斯克	méidénuògēěrsīkè	dé_sī_kè
куйбышев	古比雪夫	gǔbǐxuěfū	fū
куровское	库罗夫斯科耶	kùluófūsīkēyē	fū_sī
куртамыш	库尔塔梅什	kùěrtǎméishí	shí
красноуфимск	克拉斯诺乌菲姆斯克	kèlāsīnuòwūfēimǔsīkè	kè_sī_mǔ_sī_kè
красный кут	红库特	hóngkùtè	tè
михайловка	米哈伊洛夫卡	mǐhāyīluòfūkǎ	fū
челябинск	车里雅宾斯克	chēlǐyǎbīnsīkè	sī_kè
михайловск	米哈伊洛夫斯克	mǐhāyīluòfūsīkè	fū_sī_kè
шлиссельбург	什利谢利堡	shílìxièlìbǎo	shí_lì
черногорск	切尔诺戈尔斯克	qiēěrnuògēěrsīkè	sī_kè
мончегорск	蒙切戈尔斯克	mēngqiēgēěrsīkè	sī_kè
морозовск	莫罗佐夫斯克	mòluózuǒfūsīkè	fū_sī_kè
моршанск	莫尔尚斯克	mòěrshàngsīkè	sī_kè
назрань	纳兹兰	nàzīlán	zī
ладушкин	拉杜什金	lādùshíjīn	shí
мценск	姆岑斯克	mǔcénsīkè	mǔ_sī_kè
мышкин	梅什金	méishénjīn	shén
калининград	加里宁格勒	jiālǐnínggélè	gé
находка	纳霍德卡	nàhuòdékǎ	dé
лабинск	拉宾斯克	lābīnsīkè	sī_kè
мензелинск	缅泽林斯克	miǎnzélínsīkè	sī_kè
мещовск	梅晓夫斯克	méixiǎofūsīkè	fū_sī_kè
пермь	彼尔姆	bǐěrmǔ	mǔ
подольск	波多利斯克	bōduōlìsīkè	lì_sī_kè
крымск	克雷姆斯克	kèléimǔsīkè	mǔ_sī_kè
курганинск	库尔加宁斯克	kùěrjiāníngsīkè	sī_kè
красноуральск	克拉斯诺乌拉尔斯克	kèlāsīnuòwūláěrsīkè	kè_sī_sī_kè
вельск	韦利斯克	wéilìsīkè	lì_sī_kè
верхоянск	上扬斯克	shàngyángsīkè	sī_kè
похвистнево	波赫维斯特涅沃	bōhèwéisītènièwò	hè_sī_tè
весьегонск	韦西耶贡斯克	wéixīyēgòngsīkè	sī_kè
борисоглебск	鲍里索格列布斯克	bàolǐsuǒgēlièbùsīkè	suǒ_gē_bù_sī_kè
мосальск	莫萨利斯克	mòsàlìsīkè	lì_sī_kè
московский	莫斯科夫斯基	mòsīkēfūsījī	sī_fū_sī
муравленко	穆拉夫连科	mùlāfūliánkē	fū
мурманск	摩尔曼斯克	móěrmànsīkè	sī_kè
суздаль	苏兹达尔	sūzīdáěr	zī
красноперекопск	克拉斯诺佩列科普斯克	kèlāsīnuòpèilièkēpǔsīkè	kè_sī_pǔ_sī_kè
томск	托木斯克	tuōmùsīkè	mù_sī_kè
коломна	科洛姆纳	kēluòmǔnà	mǔ
кушва	库什瓦	kùshíwǎ	shí
сызрань	塞兹兰	sāizīlán	zī
наро фоминск	纳罗-福明斯克	nàluófúmíngsīkè	sī_kè
нарткала	纳尔特卡拉	nàěrtèkǎlā	tè
геленджик	格连吉克	gēliánjíkè	kè
гулькевичи	古利克维奇	gǔlìkèwéiqí	lì
верхняя пышма	上佩什马	shàngpèishímǎ	shí
архангельск	阿尔汉格尔斯克	āěrhàngéěrsīkè	sī_kè
видное	维德诺耶	wéidénuòyé	dé
верхотурье	维尔霍图里耶	wéiěrhuòtúlǐyé	lǐ
гудермес	古杰尔梅斯	gǔjiéěrméisī	sī
вихоревка	维霍列夫卡	wéihuòlièfūkǎ	fū
волгореченск	沃尔戈列琴斯克	wòěrgēlièqínsīkè	sī_kè
вяземский	维亚泽姆斯基	wéiyàzémǔsījī	mǔ_sī
гусиноозёрск	古西诺奥泽尔斯克	gǔxīnuòàozéěrsīkè	sī_kè
грайворон	格赖沃龙	gélàiwòlóng	gé
гремячинск	格列米亚钦斯克	gélièmǐyàqīnsīkè	gé_sī_kè
верхнеуральск	上乌拉尔斯克	shàngwūláěrsīkè	sī_kè
поронайск	波罗奈斯克	bōluónàisīkè	sī_kè
вилючинск	维柳钦斯克	wéiliǔqīnsīkè	sī_kè
полесск	波列斯克	bōlièsīkè	sī_kè
гаврилов ям	加夫里洛夫-亚姆	jiāfūlǐluòfūyàmǔ	fū_fū_mǔ
сургут	苏尔古特	sūěrgǔtè	tè
дедовск	杰多夫斯克	jiéduōfūsīkè	fū_sī_kè
правдинск	普拉夫金斯克	pǔlāfūjīnsīkè	pǔ_sī_kè
приволжск	普里沃尔日斯克	pǔlǐwòěrrìsīkè	pǔ_rì_sī_kè
вилюйск	维柳伊斯克	wéiliǔyīsīkè	sī_kè
полевской	波列夫斯科伊	bōlièfūsīkēyī	fū_sī
тверь	特维尔	tèwéiěr	tè
раменское	拉缅斯科耶	lāmiǎnsīkēyē	sī_kē
невельск	涅韦尔斯克	nièwéiěrsīkè	sī_kè
воскресенск	沃斯克列先斯克	wòsīkèlièxiānsīkè	sī_kè_sī_kè
слюдянка	斯柳江卡	sīliǔjiāngkǎ	sī
красноярск	克拉斯诺亚尔斯克	kèlāsīnuòyàěrsīkè	kè_sī_sī_kè
евпатория	叶夫帕托里亚	yèfūpàtuōlĭyà	fū
ярославль	雅罗斯拉夫尔	yǎluósīlāfūěr	fū
вятские поляны	维亚茨基耶波利亚内	wéiyàcíjīyēpōlìyànèi	cí
гаврилов посад	加夫里洛夫镇	jiāfūlǐluòfūzhèn	fū_fū
грязовец	格里卓维次	gélǐzhuówéicì	lǐ_cì
вольск	沃利斯克	wòlìsīkè	lì_s_kè
выкса	维克萨	wéikèsà	kè
донской	顿斯科伊	dùnsīkēyī	sī
дмитровск	季米特洛夫斯克	jìmǐtèluòfūsīkè	jì_tè_fū_sī_kè
дно	德诺	dénuò	dé
высоковск	维索科夫斯克	wéisuǒkēfūsīkè	fū_sī_kè
димитровград	季米特洛夫格勒	jìmǐtèluòfūgélè	tè_fū_gé
губкин	古布金	gǔbùjīn	bù
губкинский	古布金斯基	gǔbùjīnsījī	bù_sī
воткинск	沃特金斯克	wòtèjīnsīkè	tè_sī_kè
гдов	格多夫	géduōfū	gé_fū
рузаевка	鲁扎耶夫卡	lǔzāyēfūkǎ	fū
рыбинск	雷宾斯克	léibīnsīkè	sī_kè
лангепас	兰格帕斯	lángépàsī	sī
лахденпохья	拉赫坚波希亚	lāhèjiānbōxīyà	hè
данков	丹科夫	dānkēfū	fū
сыктывкар	瑟克特夫卡尔	sèkètèfūkǎěr	kè_fū
глазов	格拉佐夫	gélāzuǒfū	gé_fū
рыбное	雷布诺耶	léibùnuòyé	bù
рыльск	雷利斯克	léilìsīkè	lì_sī_kè
десногорск	杰斯诺戈尔斯克	jiésīnuògēěrsīkè	sī_sī_kè
горбатов	戈尔巴托夫	gēěrbātuōfū	fū
горнозаводск	戈尔诺扎沃茨克	gēěrnuòzāwòcíkè	cí_kè
великий новгород	大诺夫哥罗德	dànuòfūgēluódé	fū_dé
ртищево	勒季谢沃	lèjìxièwò	lè
